,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
304930,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,368100,36065,0,"20,000,000 .. 50,000,000",6736,4232,353,1184,0,0,0,20858
105600,105600,Terraria,Re-Logic,Re-Logic,,597640,13174,0,"20,000,000 .. 50,000,000",6479,394,2210,115,999,999,0,37066
291550,291550,Brawlhalla,Blue Mammoth Games,Ubisoft,,153800,27611,0,"20,000,000 .. 50,000,000",1663,253,162,116,0,0,0,26066
4000,4000,Garry's Mod,Facepunch Studios,Valve,,597632,22049,0,"20,000,000 .. 50,000,000",10169,869,1562,211,999,999,0,31437
272060,272060,Serena,Senscape,Senscape,,4762,1423,0,"10,000,000 .. 20,000,000",98,0,12,0,0,0,0,2
238960,238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,,134788,9814,0,"10,000,000 .. 20,000,000",6567,835,320,795,0,0,0,31288
227940,227940,Heroes & Generals,RETO MOTO,RETO MOTO,,83992,40822,0,"10,000,000 .. 20,000,000",837,106,99,150,0,0,0,4117
252950,252950,Rocket League,Psyonix LLC,Psyonix LLC,,427643,52432,0,"10,000,000 .. 20,000,000",14318,752,1875,456,0,0,0,117021
252490,252490,Rust,Facepunch Studios,Facepunch Studios,,415358,76488,0,"10,000,000 .. 20,000,000",18532,1411,2516,1036,3999,3999,0,52627
275390,275390,Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,DrinkBox Studios,,4785,399,0,"10,000,000 .. 20,000,000",411,0,152,0,1499,1499,0,36
301520,301520,Robocraft,Freejam,Freejam,,84822,32056,0,"10,000,000 .. 20,000,000",1077,55,193,55,0,0,0,570
431960,431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,,243072,4428,0,"10,000,000 .. 20,000,000",2052,112,587,21,399,399,0,40874
1097150,1097150,Fall Guys: Ultimate Knockout,Mediatonic,Devolver Digital,,208014,51506,0,"10,000,000 .. 20,000,000",880,158,473,36,1999,1999,0,14166
219990,219990,Grim Dawn,Crate Entertainment,Crate Entertainment,,53114,4031,0,"5,000,000 .. 10,000,000",2232,242,1128,242,2499,2499,0,5887
96000,96000,The Tiny Bang Story,Colibri Games,Colibri Games,,4719,678,0,"5,000,000 .. 10,000,000",297,0,303,0,499,499,0,87
477160,477160,Human: Fall Flat,No Brakes Games,Curve Digital,,105562,6633,0,"5,000,000 .. 10,000,000",594,46,396,65,1499,1499,0,4220
370910,370910,Kathy Rain,Clifftop Games,Raw Fury,,2736,214,0,"5,000,000 .. 10,000,000",881,0,266,0,1499,1499,0,23
346110,346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,289634,82561,0,"5,000,000 .. 10,000,000",10302,712,1093,340,999,4999,80,57132
227300,227300,Euro Truck Simulator 2,SCS Software,SCS Software,,343917,9078,0,"5,000,000 .. 10,000,000",6094,324,2008,160,1999,1999,0,32630
224260,224260,No More Room in Hell,No More Room in Hell Team,Lever Games,,52902,6167,0,"5,000,000 .. 10,000,000",453,102,91,102,0,0,0,496
278360,278360,A Story About My Uncle,Gone North Games,Coffee Stain Publishing,,23916,2091,0,"5,000,000 .. 10,000,000",351,11,244,11,1499,1499,0,89
322330,322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,207286,7975,0,"5,000,000 .. 10,000,000",1838,328,539,119,1499,1499,0,19666
413150,413150,Stardew Valley,ConcernedApe,ConcernedApe,,270264,6442,0,"5,000,000 .. 10,000,000",2467,277,1106,299,1499,1499,0,13978
363970,363970,Clicker Heroes,Playsaurus,Playsaurus,,47633,5323,0,"5,000,000 .. 10,000,000",4334,2070,397,4073,0,0,0,3651
648800,648800,Raft,Redbeet Interactive,Axolot Games,,67894,7070,0,"5,000,000 .. 10,000,000",1047,256,575,319,1999,1999,0,11198
466240,466240,Deceit,Baseline,Baseline,,52352,10941,0,"5,000,000 .. 10,000,000",513,151,95,119,0,0,0,1563
285800,285800,Braveland,Tortuga Team,Tortuga Team,,2171,450,0,"5,000,000 .. 10,000,000",640,0,256,0,699,699,0,52
219640,219640,Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios,,54282,11572,0,"5,000,000 .. 10,000,000",1147,0,296,0,2499,2499,0,260
219740,219740,Don't Starve,Klei Entertainment,Klei Entertainment,,79549,2620,0,"5,000,000 .. 10,000,000",955,149,279,159,999,999,0,3372
739630,739630,Phasmophobia,Kinetic Games,Kinetic Games,,82430,2622,0,"5,000,000 .. 10,000,000",712,488,565,367,1399,1399,0,65963
555570,555570,Infestation: The New Z,Fredaikis AB,OP Productions LLC,,16310,15177,0,"5,000,000 .. 10,000,000",1102,2770,38,2770,0,0,0,1025
208090,208090,Loadout,Edge of Reality,Edge of Reality,,35144,5432,0,"5,000,000 .. 10,000,000",297,0,141,0,0,0,0,1
346900,346900,AdVenture Capitalist,Hyper Hippo Games,Hyper Hippo Games,,39287,5081,0,"5,000,000 .. 10,000,000",1383,0,208,0,0,0,0,992
387990,387990,Scrap Mechanic,Axolot Games,Axolot Games,,53192,5066,0,"5,000,000 .. 10,000,000",2800,167,746,193,1999,1999,0,2769
251570,251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,120017,20971,0,"2,000,000 .. 5,000,000",3446,341,1340,364,2499,2499,0,27793
252130,252130,Divide By Sheep,"Victor Solodilov, Denis Novikov",tinyBuild,,2077,199,0,"2,000,000 .. 5,000,000",124,0,91,0,499,499,0,4
552500,552500,Warhammer: Vermintide 2,Fatshark,Fatshark,,45457,11438,0,"2,000,000 .. 5,000,000",1658,213,555,262,2999,2999,0,6627
233450,233450,Prison Architect,"Double Eleven, Introversion Software",Paradox Interactive,,46358,4481,0,"2,000,000 .. 5,000,000",1752,471,844,475,2999,2999,0,1798
280790,280790,Creativerse,Playful Corp.,Playful Corp.,,22702,5531,0,"2,000,000 .. 5,000,000",539,161,91,322,0,0,0,519
265630,265630,Fistful of Frags,Fistful of Frags Team,Fistful of Frags Team,,28023,2710,0,"2,000,000 .. 5,000,000",287,64,64,64,0,0,0,246
489520,489520,Minion Masters,BetaDwarf,BetaDwarf,,46921,4055,0,"2,000,000 .. 5,000,000",514,11,185,11,0,0,0,1355
