,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
570,570,Dota 2,Valve,Valve,,1173499,214974,0,"100,000,000 .. 200,000,000",31355,1943,973,788,0,0,0,514719
730,730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,4301923,591081,0,"100,000,000 .. 200,000,000",27866,990,7640,399,0,0,0,845288
440,440,Team Fortress 2,Valve,Valve,,676327,42615,0,"50,000,000 .. 100,000,000",10154,1442,403,521,0,0,0,64855
578080,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,PUBG Corporation,,853709,732665,0,"50,000,000 .. 100,000,000",24877,564,10375,229,2999,2999,0,280572
304930,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,368100,36065,0,"20,000,000 .. 50,000,000",6736,4232,353,1184,0,0,0,20858
230410,230410,Warframe,Digital Extremes,Digital Extremes,,356454,36354,0,"20,000,000 .. 50,000,000",7548,987,415,479,0,0,0,45267
550,550,Left 4 Dead 2,Valve,Valve,,406973,11974,0,"20,000,000 .. 50,000,000",1930,183,497,135,999,999,0,19564
271590,271590,Grand Theft Auto V,Rockstar North,Rockstar Games,,775017,184741,0,"20,000,000 .. 50,000,000",10668,467,5348,161,2999,2999,0,87377
105600,105600,Terraria,Re-Logic,Re-Logic,,597640,13174,0,"20,000,000 .. 50,000,000",6479,394,2210,115,999,999,0,37066
359550,359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,,687297,94588,0,"20,000,000 .. 50,000,000",12155,450,3512,197,1999,1999,0,68616
291550,291550,Brawlhalla,Blue Mammoth Games,Ubisoft,,153800,27611,0,"20,000,000 .. 50,000,000",1663,253,162,116,0,0,0,26066
340,340,Half-Life 2: Lost Coast,Valve,Valve,,7308,1144,0,"10,000,000 .. 20,000,000",89,9,18,9,0,0,0,26
236390,236390,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,145248,35398,0,"10,000,000 .. 20,000,000",4860,1086,371,524,0,0,0,31542
218620,218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,,404713,59052,0,"10,000,000 .. 20,000,000",5521,2304,686,622,999,999,0,49004
238960,238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,,134788,9814,0,"10,000,000 .. 20,000,000",6567,835,320,795,0,0,0,31288
227940,227940,Heroes & Generals,RETO MOTO,RETO MOTO,,83992,40822,0,"10,000,000 .. 20,000,000",837,106,99,150,0,0,0,4117
252950,252950,Rocket League,Psyonix LLC,Psyonix LLC,,427643,52432,0,"10,000,000 .. 20,000,000",14318,752,1875,456,0,0,0,117021
252490,252490,Rust,Facepunch Studios,Facepunch Studios,,415358,76488,0,"10,000,000 .. 20,000,000",18532,1411,2516,1036,3999,3999,0,52627
1085660,1085660,Destiny 2,Bungie,Bungie,,252412,37664,0,"10,000,000 .. 20,000,000",5740,699,353,353,0,0,0,63916
240,240,Counter-Strike: Source,Valve,Valve,,108143,4473,0,"10,000,000 .. 20,000,000",7997,111,463,116,999,999,0,5702
10,10,Counter-Strike,Valve,Valve,,163450,4266,0,"10,000,000 .. 20,000,000",10334,38,266,46,999,999,0,15894
275390,275390,Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,DrinkBox Studios,,4785,399,0,"10,000,000 .. 20,000,000",411,0,152,0,1499,1499,0,36
301520,301520,Robocraft,Freejam,Freejam,,84822,32056,0,"10,000,000 .. 20,000,000",1077,55,193,55,0,0,0,570
291480,291480,Warface,MY.GAMES,MY.GAMES,,42413,19173,0,"10,000,000 .. 20,000,000",531,466,132,466,0,0,0,4127
550650,550650,Black Squad,"NS STUDIO, VALOFE","NS STUDIO, VALOFE",,55577,16034,0,"10,000,000 .. 20,000,000",1007,84,60,98,0,0,0,2532
620,620,Portal 2,Valve,Valve,,213404,2663,0,"10,000,000 .. 20,000,000",919,274,498,391,999,999,0,3796
386360,386360,SMITE,Titan Forge Games,Hi-Rez Studios,,60153,14187,0,"10,000,000 .. 20,000,000",2406,383,152,313,0,0,0,19863
304050,304050,Trove,Trion Worlds,Trion Worlds,,61734,15365,0,"10,000,000 .. 20,000,000",2083,287,208,287,0,0,0,2072
755790,755790,Ring of Elysium,Aurora Studio,TCH Scarlet Limited,,68969,22434,0,"10,000,000 .. 20,000,000",1080,160,94,247,0,0,0,1601
433850,433850,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,,114769,93577,0,"10,000,000 .. 20,000,000",2979,20,155,20,0,0,0,274
320,320,Half-Life 2: Deathmatch,Valve,Valve,,7908,910,0,"10,000,000 .. 20,000,000",1329,0,50,0,499,499,0,234
360,360,Half-Life Deathmatch: Source,Valve,Valve,,1923,620,0,"10,000,000 .. 20,000,000",181,0,14,0,999,999,0,17
1097150,1097150,Fall Guys: Ultimate Knockout,Mediatonic,Devolver Digital,,208014,51506,0,"10,000,000 .. 20,000,000",880,158,473,36,1999,1999,0,14166
417910,417910,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,,976,723,0,"10,000,000 .. 20,000,000",49,0,31,0,199,199,0,4
219990,219990,Grim Dawn,Crate Entertainment,Crate Entertainment,,53114,4031,0,"5,000,000 .. 10,000,000",2232,242,1128,242,2499,2499,0,5887
582010,582010,Monster Hunter: World,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,230451,45175,0,"5,000,000 .. 10,000,000",8636,785,3543,362,2999,2999,0,36241
70,70,Half-Life,Valve,Valve,,50558,1890,0,"5,000,000 .. 10,000,000",610,136,177,206,999,999,0,859
218230,218230,PlanetSide 2,Rogue Planet Games,Daybreak Game Company,,47646,9916,0,"5,000,000 .. 10,000,000",1437,300,159,300,0,0,0,2772
49520,49520,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,220276,15623,0,"5,000,000 .. 10,000,000",3153,206,1094,355,1999,1999,0,3200
346110,346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,289634,82561,0,"5,000,000 .. 10,000,000",10302,712,1093,340,999,4999,80,57132
400,400,Portal,Valve,Valve,,76313,1351,0,"5,000,000 .. 10,000,000",337,32,170,35,999,999,0,655
224260,224260,No More Room in Hell,No More Room in Hell Team,Lever Games,,52902,6167,0,"5,000,000 .. 10,000,000",453,102,91,102,0,0,0,496
50,50,Half-Life: Opposing Force,Gearbox Software,Valve,,9414,493,0,"5,000,000 .. 10,000,000",726,0,164,0,499,499,0,125
333930,333930,Dirty Bomb,Splash Damage,Warchest Ltd.,,46862,11047,0,"5,000,000 .. 10,000,000",801,280,89,280,0,0,0,331
381210,381210,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,,313983,69679,0,"5,000,000 .. 10,000,000",6266,427,1100,146,1999,1999,0,48611
365590,365590,Tom Clancy’s The Division,Massive Entertainment,Ubisoft,,55830,26387,0,"5,000,000 .. 10,000,000",6402,210,3066,285,2999,2999,0,828
582660,582660,Black Desert Online,Pearl Abyss,Kakao Games Europe B.V.,,25630,8767,0,"5,000,000 .. 10,000,000",5245,5206,590,5210,999,999,0,16735
444200,444200,World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,,44813,12201,0,"5,000,000 .. 10,000,000",2296,588,202,748,0,0,0,21562
203160,203160,Tomb Raider,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",,166375,6461,0,"5,000,000 .. 10,000,000",563,56,486,87,1499,1499,0,1444
60,60,Ricochet,Valve,Valve,,3311,773,0,"5,000,000 .. 10,000,000",728,0,6,0,499,499,0,8
273110,273110,Counter-Strike Nexon: Studio,"Valve Corporation, Nexon Korea Corporation",Nexon Korea Corporation,,24660,12932,0,"5,000,000 .. 10,000,000",935,0,46,0,0,0,0,800
