,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
578080,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,PUBG Corporation,,853709,732665,0,"50,000,000 .. 100,000,000",24877,564,10375,229,2999,2999,0,280572
304930,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,368100,36065,0,"20,000,000 .. 50,000,000",6736,4232,353,1184,0,0,0,20858
271590,271590,Grand Theft Auto V,Rockstar North,Rockstar Games,,775017,184741,0,"20,000,000 .. 50,000,000",10668,467,5348,161,2999,2999,0,87377
105600,105600,Terraria,Re-Logic,Re-Logic,,597640,13174,0,"20,000,000 .. 50,000,000",6479,394,2210,115,999,999,0,37066
272060,272060,Serena,Senscape,Senscape,,4762,1423,0,"10,000,000 .. 20,000,000",98,0,12,0,0,0,0,2
238960,238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,,134788,9814,0,"10,000,000 .. 20,000,000",6567,835,320,795,0,0,0,31288
252490,252490,Rust,Facepunch Studios,Facepunch Studios,,415358,76488,0,"10,000,000 .. 20,000,000",18532,1411,2516,1036,3999,3999,0,52627
1085660,1085660,Destiny 2,Bungie,Bungie,,252412,37664,0,"10,000,000 .. 20,000,000",5740,699,353,353,0,0,0,63916
275390,275390,Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,DrinkBox Studios,,4785,399,0,"10,000,000 .. 20,000,000",411,0,152,0,1499,1499,0,36
620,620,Portal 2,Valve,Valve,,213404,2663,0,"10,000,000 .. 20,000,000",919,274,498,391,999,999,0,3796
304050,304050,Trove,Trion Worlds,Trion Worlds,,61734,15365,0,"10,000,000 .. 20,000,000",2083,287,208,287,0,0,0,2072
433850,433850,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,,114769,93577,0,"10,000,000 .. 20,000,000",2979,20,155,20,0,0,0,274
219990,219990,Grim Dawn,Crate Entertainment,Crate Entertainment,,53114,4031,0,"5,000,000 .. 10,000,000",2232,242,1128,242,2499,2499,0,5887
96000,96000,The Tiny Bang Story,Colibri Games,Colibri Games,,4719,678,0,"5,000,000 .. 10,000,000",297,0,303,0,499,499,0,87
532210,532210,Life is Strange 2,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",,15174,2985,0,"5,000,000 .. 10,000,000",342,0,202,0,3196,3196,0,322
477160,477160,Human: Fall Flat,No Brakes Games,Curve Digital,,105562,6633,0,"5,000,000 .. 10,000,000",594,46,396,65,1499,1499,0,4220
370910,370910,Kathy Rain,Clifftop Games,Raw Fury,,2736,214,0,"5,000,000 .. 10,000,000",881,0,266,0,1499,1499,0,23
346110,346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,289634,82561,0,"5,000,000 .. 10,000,000",10302,712,1093,340,999,4999,80,57132
365590,365590,Tom Clancy’s The Division,Massive Entertainment,Ubisoft,,55830,26387,0,"5,000,000 .. 10,000,000",6402,210,3066,285,2999,2999,0,828
582660,582660,Black Desert Online,Pearl Abyss,Kakao Games Europe B.V.,,25630,8767,0,"5,000,000 .. 10,000,000",5245,5206,590,5210,999,999,0,16735
278360,278360,A Story About My Uncle,Gone North Games,Coffee Stain Publishing,,23916,2091,0,"5,000,000 .. 10,000,000",351,11,244,11,1499,1499,0,89
203160,203160,Tomb Raider,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",,166375,6461,0,"5,000,000 .. 10,000,000",563,56,486,87,1499,1499,0,1444
322330,322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,207286,7975,0,"5,000,000 .. 10,000,000",1838,328,539,119,1499,1499,0,19666
438100,438100,VRChat,VRChat Inc.,VRChat Inc.,,62836,6458,0,"5,000,000 .. 10,000,000",2459,1008,61,1284,0,0,0,11680
363970,363970,Clicker Heroes,Playsaurus,Playsaurus,,47633,5323,0,"5,000,000 .. 10,000,000",4334,2070,397,4073,0,0,0,3651
648800,648800,Raft,Redbeet Interactive,Axolot Games,,67894,7070,0,"5,000,000 .. 10,000,000",1047,256,575,319,1999,1999,0,11198
285800,285800,Braveland,Tortuga Team,Tortuga Team,,2171,450,0,"5,000,000 .. 10,000,000",640,0,256,0,699,699,0,52
109600,109600,Neverwinter,Cryptic Studios,Perfect World Entertainment,,23040,6494,0,"5,000,000 .. 10,000,000",886,2,340,4,0,0,0,2564
319630,319630,Life is Strange - Episode 1,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",,137417,5272,0,"5,000,000 .. 10,000,000",519,99,180,196,0,0,0,535
219740,219740,Don't Starve,Klei Entertainment,Klei Entertainment,,79549,2620,0,"5,000,000 .. 10,000,000",955,149,279,159,999,999,0,3372
253710,253710,theHunter Classic,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",,15859,16045,0,"5,000,000 .. 10,000,000",358,70,36,70,0,0,0,1735
15700,15700,Oddworld: Abe's Oddysee,Oddworld Inhabitants,Oddworld Inhabitants,,3104,505,0,"5,000,000 .. 10,000,000",221,0,214,0,299,299,0,13
387990,387990,Scrap Mechanic,Axolot Games,Axolot Games,,53192,5066,0,"5,000,000 .. 10,000,000",2800,167,746,193,1999,1999,0,2769
251570,251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,120017,20971,0,"2,000,000 .. 5,000,000",3446,341,1340,364,2499,2499,0,27793
252130,252130,Divide By Sheep,"Victor Solodilov, Denis Novikov",tinyBuild,,2077,199,0,"2,000,000 .. 5,000,000",124,0,91,0,499,499,0,4
814380,814380,Sekiro: Shadows Die Twice - GOTY Edition,FromSoftware,"Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)",,101131,5997,0,"2,000,000 .. 5,000,000",2440,355,1915,307,5999,5999,0,11780
221100,221100,DayZ,Bohemia Interactive,Bohemia Interactive,,161010,85322,0,"2,000,000 .. 5,000,000",8343,1665,1972,679,4499,4499,0,27070
280790,280790,Creativerse,Playful Corp.,Playful Corp.,,22702,5531,0,"2,000,000 .. 5,000,000",539,161,91,322,0,0,0,519
489520,489520,Minion Masters,BetaDwarf,BetaDwarf,,46921,4055,0,"2,000,000 .. 5,000,000",514,11,185,11,0,0,0,1355
238320,238320,Outlast,Red Barrels,Red Barrels,,58793,2407,0,"2,000,000 .. 5,000,000",270,200,137,209,1999,1999,0,711
323370,323370,TERA,"Bluehole, Inc.",En Masse Entertainment,,13148,3457,0,"2,000,000 .. 5,000,000",1573,0,298,0,0,0,0,142
211820,211820,Starbound,Chucklefish,Chucklefish,,134933,9930,0,"2,000,000 .. 5,000,000",3807,441,1534,344,1499,1499,0,2259
8190,8190,Just Cause 2,Avalanche Studios,Square Enix,,39222,3801,0,"2,000,000 .. 5,000,000",613,8,174,8,1499,1499,0,256
206420,206420,Saints Row IV,Deep Silver Volition,Deep Silver,,60845,5948,0,"2,000,000 .. 5,000,000",1053,89,723,150,1499,1499,0,644
506540,506540,Last Man Standing,"Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,,11601,7395,0,"2,000,000 .. 5,000,000",214,0,71,0,0,0,0,4
435150,435150,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,,101449,4177,0,"2,000,000 .. 5,000,000",3954,647,2050,663,4499,4499,0,17231
238460,238460,BattleBlock Theater,The Behemoth,The Behemoth,,56180,1564,0,"2,000,000 .. 5,000,000",493,134,288,134,1499,1499,0,307
367520,367520,Hollow Knight,Team Cherry,Team Cherry,,113209,3884,0,"2,000,000 .. 5,000,000",1598,442,760,460,1499,1499,0,4274
200710,200710,Torchlight II,Runic Games,Runic Games,,34986,2239,0,"2,000,000 .. 5,000,000",1553,60,634,83,1999,1999,0,632
223710,223710,Cry of Fear,Team Psykskallar,Team Psykskallar,,25214,4274,0,"2,000,000 .. 5,000,000",143,68,41,95,0,0,0,318
48000,48000,LIMBO,Playdead,Playdead,,34574,2320,0,"2,000,000 .. 5,000,000",172,0,96,0,999,999,0,79
264710,264710,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,136618,6169,0,"2,000,000 .. 5,000,000",1617,83,975,110,2499,2499,0,3591
220240,220240,Far Cry 3,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,,58696,6785,0,"2,000,000 .. 5,000,000",1171,241,776,372,1999,1999,0,1013
312990,312990,The Expendabros,Free Lives,Devolver Digital,,16177,469,0,"2,000,000 .. 5,000,000",86,2,49,2,0,0,0,51
209080,209080,Guns of Icarus Online,Muse Games,Muse Games,,13222,1374,0,"2,000,000 .. 5,000,000",320,0,284,0,499,499,0,24
204360,204360,Castle Crashers,The Behemoth,The Behemoth,,67059,2782,0,"2,000,000 .. 5,000,000",600,47,289,59,1499,1499,0,851
99900,99900,Spiral Knights,"Grey Havens, LLC","Grey Havens, LLC",,17683,3392,0,"2,000,000 .. 5,000,000",1497,16,107,16,0,0,0,247
395170,395170,DISTRAINT: Deluxe Edition,Jesse Makkonen,Jesse Makkonen,,8576,607,0,"2,000,000 .. 5,000,000",265,0,248,0,84,499,83,58
223470,223470,POSTAL 2,Running With Scissors,Running With Scissors,,49411,2330,0,"2,000,000 .. 5,000,000",515,43,222,43,999,999,0,272
35720,35720,Trine 2: Complete Story,Frozenbyte,Frozenbyte,,18239,822,0,"2,000,000 .. 5,000,000",279,0,194,0,499,1999,75,142
275850,275850,No Man's Sky,Hello Games,Hello Games,,115121,56726,0,"2,000,000 .. 5,000,000",2713,229,1212,286,5999,5999,0,11348
207610,207610,The Walking Dead,Telltale Games,Skybound Games,,50344,1649,0,"2,000,000 .. 5,000,000",578,0,473,0,1499,1499,0,247
242760,242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,,199566,12154,0,"2,000,000 .. 5,000,000",1316,233,770,275,1999,1999,0,14021
225540,225540,Just Cause 3,Avalanche Studios,Square Enix,,62192,16720,0,"2,000,000 .. 5,000,000",1059,7,404,7,1999,1999,0,1302
1172620,1172620,Sea of Thieves,Rare Ltd,Xbox Game Studios,,41892,6257,0,"2,000,000 .. 5,000,000",2199,444,1069,300,3999,3999,0,8926
