,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
578080,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,PUBG Corporation,,853709,732665,0,"50,000,000 .. 100,000,000",24877,564,10375,229,2999,2999,0,280572
304930,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,368100,36065,0,"20,000,000 .. 50,000,000",6736,4232,353,1184,0,0,0,20858
291550,291550,Brawlhalla,Blue Mammoth Games,Ubisoft,,153800,27611,0,"20,000,000 .. 50,000,000",1663,253,162,116,0,0,0,26066
227940,227940,Heroes & Generals,RETO MOTO,RETO MOTO,,83992,40822,0,"10,000,000 .. 20,000,000",837,106,99,150,0,0,0,4117
252490,252490,Rust,Facepunch Studios,Facepunch Studios,,415358,76488,0,"10,000,000 .. 20,000,000",18532,1411,2516,1036,3999,3999,0,52627
301520,301520,Robocraft,Freejam,Freejam,,84822,32056,0,"10,000,000 .. 20,000,000",1077,55,193,55,0,0,0,570
550650,550650,Black Squad,"NS STUDIO, VALOFE","NS STUDIO, VALOFE",,55577,16034,0,"10,000,000 .. 20,000,000",1007,84,60,98,0,0,0,2532
433850,433850,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,,114769,93577,0,"10,000,000 .. 20,000,000",2979,20,155,20,0,0,0,274
431960,431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,,243072,4428,0,"10,000,000 .. 20,000,000",2052,112,587,21,399,399,0,40874
417910,417910,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,,976,723,0,"10,000,000 .. 20,000,000",49,0,31,0,199,199,0,4
219990,219990,Grim Dawn,Crate Entertainment,Crate Entertainment,,53114,4031,0,"5,000,000 .. 10,000,000",2232,242,1128,242,2499,2499,0,5887
346110,346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,289634,82561,0,"5,000,000 .. 10,000,000",10302,712,1093,340,999,4999,80,57132
1046930,1046930,Dota Underlords,Valve,Valve,,71087,13872,0,"5,000,000 .. 10,000,000",1782,127,347,153,0,0,0,5506
322330,322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,207286,7975,0,"5,000,000 .. 10,000,000",1838,328,539,119,1499,1499,0,19666
466240,466240,Deceit,Baseline,Baseline,,52352,10941,0,"5,000,000 .. 10,000,000",513,151,95,119,0,0,0,1563
107410,107410,Arma 3,Bohemia Interactive,Bohemia Interactive,,156649,16898,0,"5,000,000 .. 10,000,000",12024,579,1721,376,2999,2999,0,20061
233450,233450,Prison Architect,"Double Eleven, Introversion Software",Paradox Interactive,,46358,4481,0,"2,000,000 .. 5,000,000",1752,471,844,475,2999,2999,0,1798
280790,280790,Creativerse,Playful Corp.,Playful Corp.,,22702,5531,0,"2,000,000 .. 5,000,000",539,161,91,322,0,0,0,519
489520,489520,Minion Masters,BetaDwarf,BetaDwarf,,46921,4055,0,"2,000,000 .. 5,000,000",514,11,185,11,0,0,0,1355
211820,211820,Starbound,Chucklefish,Chucklefish,,134933,9930,0,"2,000,000 .. 5,000,000",3807,441,1534,344,1499,1499,0,2259
286160,286160,Tabletop Simulator,Berserk Games,Berserk Games,,32693,1311,0,"2,000,000 .. 5,000,000",1722,357,559,442,1999,1999,0,8146
504370,504370,Battlerite,Stunlock Studios,Stunlock Studios,,46266,8723,0,"2,000,000 .. 5,000,000",1127,24,167,47,0,0,0,516
506540,506540,Last Man Standing,"Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,,11601,7395,0,"2,000,000 .. 5,000,000",214,0,71,0,0,0,0,4
435150,435150,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,,101449,4177,0,"2,000,000 .. 5,000,000",3954,647,2050,663,4499,4499,0,17231
264710,264710,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,,136618,6169,0,"2,000,000 .. 5,000,000",1617,83,975,110,2499,2499,0,3591
386180,386180,Crossout,Targem Games,Gaijin Distribution KFT,,27732,9178,0,"2,000,000 .. 5,000,000",659,1231,131,1734,0,0,0,3972
884660,884660,Cuisine Royale,Darkflow Software,Gaijin Distribution KFT,,22446,5127,0,"2,000,000 .. 5,000,000",324,294,48,269,0,0,0,764
632360,632360,Risk of Rain 2,Hopoo Games,Gearbox Publishing,,110927,4728,0,"2,000,000 .. 5,000,000",2193,178,1219,160,2499,2499,0,7979
380600,380600,Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,,18889,4380,0,"2,000,000 .. 5,000,000",866,0,44,0,0,0,0,2453
262060,262060,Darkest Dungeon,Red Hook Studios,Red Hook Studios,,73101,8182,0,"2,000,000 .. 5,000,000",2504,135,883,143,2499,2499,0,4457
355180,355180,Codename CURE,Hoobalugalar_X,Hoobalugalar_X,,12754,2478,0,"2,000,000 .. 5,000,000",226,0,35,0,0,0,0,50
232090,232090,Killing Floor 2,Tripwire Interactive,Tripwire Interactive,,84741,11860,0,"2,000,000 .. 5,000,000",8833,2720,768,3390,2999,2999,0,4490
391460,391460,WARMODE,Novalink,Novalink,,10324,6582,0,"2,000,000 .. 5,000,000",73,0,22,0,0,0,0,32
244850,244850,Space Engineers,Keen Software House,Keen Software House,,83826,11378,0,"2,000,000 .. 5,000,000",3319,937,923,1093,1999,1999,0,8278
594650,594650,Hunt: Showdown,Crytek,Crytek,,58673,14406,0,"2,000,000 .. 5,000,000",3135,243,839,329,3999,3999,0,13267
220200,220200,Kerbal Space Program,Squad,Private Division,,76202,5084,0,"2,000,000 .. 5,000,000",3323,197,517,215,3999,3999,0,4323
294100,294100,RimWorld,Ludeon Studios,Ludeon Studios,,85397,1488,0,"2,000,000 .. 5,000,000",7807,777,3469,865,3499,3499,0,16630
620980,620980,Beat Saber,Beat Games,Beat Games,,40126,1715,0,"2,000,000 .. 5,000,000",1214,425,641,531,2999,2999,0,1998
247080,247080,Crypt of the NecroDancer,Brace Yourself Games,"Brace Yourself Games, Klei Entertainment",,18448,723,0,"2,000,000 .. 5,000,000",334,34,151,34,1499,1499,0,165
207140,207140,SpeedRunners,DoubleDutch Games,tinyBuild,,25726,1735,0,"2,000,000 .. 5,000,000",745,54,336,81,1499,1499,0,443
436520,436520,Line of Sight,BlackSpot Entertainment,BlackSpot Entertainment,,5053,3584,0,"2,000,000 .. 5,000,000",122,0,46,0,0,0,0,62
246620,246620,Plague Inc: Evolved,Ndemic Creations,Ndemic Creations,,33413,2062,0,"2,000,000 .. 5,000,000",613,56,289,56,1499,1499,0,529
274190,274190,Broforce,Free Lives,Devolver Digital,,38643,1157,0,"2,000,000 .. 5,000,000",796,68,437,68,1499,1499,0,355
346010,346010,Besiege,Spiderling Studios,Spiderling Studios,,35412,1714,0,"2,000,000 .. 5,000,000",489,0,191,0,1499,1499,0,510
1145360,1145360,Hades,Supergiant Games,Supergiant Games,,50787,754,0,"2,000,000 .. 5,000,000",1501,486,972,460,1999,2499,20,27428
214420,214420,Gear Up,Doctor Entertainment AB,Doctor Entertainment AB,,6420,2225,0,"2,000,000 .. 5,000,000",200,0,49,0,0,0,0,9
305620,305620,The Long Dark,Hinterland Studio Inc.,Hinterland Studio Inc.,,64752,6404,0,"2,000,000 .. 5,000,000",1025,226,337,214,2999,2999,0,2418
646570,646570,Slay the Spire,Mega Crit Games,Mega Crit Games,,78483,1729,0,"2,000,000 .. 5,000,000",3450,371,1782,462,2499,2499,0,6232
466560,466560,Northgard,Shiro Games,Shiro Games,,26278,3879,0,"1,000,000 .. 2,000,000",1449,0,458,0,1499,2999,50,2917
588650,588650,Dead Cells,Motion Twin,Motion Twin,,59050,2050,0,"1,000,000 .. 2,000,000",1587,77,1121,151,2499,2499,0,1369
298240,298240,WT3,"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",,5006,3388,0,"1,000,000 .. 2,000,000",161,0,27,0,0,0,0,23
431240,431240,Golf With Your Friends,Blacklight Interactive,Team17 Digital Ltd,,27350,3180,0,"1,000,000 .. 2,000,000",725,25,412,27,1499,1499,0,1510
310560,310560,DiRT Rally,"Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)",,28464,4210,0,"1,000,000 .. 2,000,000",946,100,185,181,1999,1999,0,562
206500,206500,AirMech Strike,Carbon Games,Carbon Games,,8152,1511,0,"1,000,000 .. 2,000,000",662,0,130,0,0,0,0,29
319830,319830,AX:EL - Air XenoDawn,Alex Piola,KISS ltd,,824,262,0,"1,000,000 .. 2,000,000",122,0,81,0,0,0,0,25
644560,644560,Mirror,KAGAMI WORKs,Paradise Project,,54414,1455,0,"1,000,000 .. 2,000,000",368,36,294,11,199,199,0,602
236110,236110,Dungeon Defenders II,Trendy Entertainment,Trendy Entertainment,,13340,4191,0,"1,000,000 .. 2,000,000",656,58,126,58,0,0,0,559
736190,736190,Chinese Parents,墨鱼玩游戏,墨鱼玩游戏,,19898,1774,0,"1,000,000 .. 2,000,000",1002,0,734,0,999,999,0,409
510840,510840,Evolvation,"Eric Ruts, Jacob Kooiman",HyperReuts,,620,271,0,"1,000,000 .. 2,000,000",787,0,312,0,999,999,0,72
285900,285900,Gang Beasts,"Boneloaf, Coatsink",Boneloaf,,18302,6475,0,"1,000,000 .. 2,000,000",288,31,131,42,1999,1999,0,220
433340,433340,Slime Rancher,Monomi Park,Monomi Park,,50016,1384,0,"1,000,000 .. 2,000,000",1016,45,472,65,1999,1999,0,1254
391720,391720,Layers of Fear,Bloober Team SA,Aspyr,,18978,2178,0,"1,000,000 .. 2,000,000",227,55,233,55,1999,1999,0,141
447820,447820,Day of Infamy,New World Interactive,New World Interactive,,17131,3560,0,"1,000,000 .. 2,000,000",868,0,467,0,1499,1499,0,165
434650,434650,Lost Castle / 失落城堡,Hunter Studio,Another Indie,,16078,2118,0,"1,000,000 .. 2,000,000",904,0,419,0,999,999,0,349
308600,308600,Geneshift,Ben Johnson (bencelot),Nik Nak Studios,,1530,367,0,"1,000,000 .. 2,000,000",827,0,321,0,1499,1499,0,79
392110,392110,Endless Space 2 - Digital Deluxe Edition,AMPLITUDE Studios,SEGA,,12697,2706,0,"1,000,000 .. 2,000,000",2190,0,1230,0,3999,3999,0,1402
