,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
570,570,Dota 2,Valve,Valve,,1173499,214974,0,"100,000,000 .. 200,000,000",31355,1943,973,788,0,0,0,514719
730,730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,4301923,591081,0,"100,000,000 .. 200,000,000",27866,990,7640,399,0,0,0,845288
440,440,Team Fortress 2,Valve,Valve,,676327,42615,0,"50,000,000 .. 100,000,000",10154,1442,403,521,0,0,0,64855
304930,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,368100,36065,0,"20,000,000 .. 50,000,000",6736,4232,353,1184,0,0,0,20858
230410,230410,Warframe,Digital Extremes,Digital Extremes,,356454,36354,0,"20,000,000 .. 50,000,000",7548,987,415,479,0,0,0,45267
291550,291550,Brawlhalla,Blue Mammoth Games,Ubisoft,,153800,27611,0,"20,000,000 .. 50,000,000",1663,253,162,116,0,0,0,26066
236390,236390,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,145248,35398,0,"10,000,000 .. 20,000,000",4860,1086,371,524,0,0,0,31542
238960,238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,,134788,9814,0,"10,000,000 .. 20,000,000",6567,835,320,795,0,0,0,31288
227940,227940,Heroes & Generals,RETO MOTO,RETO MOTO,,83992,40822,0,"10,000,000 .. 20,000,000",837,106,99,150,0,0,0,4117
1085660,1085660,Destiny 2,Bungie,Bungie,,252412,37664,0,"10,000,000 .. 20,000,000",5740,699,353,353,0,0,0,63916
301520,301520,Robocraft,Freejam,Freejam,,84822,32056,0,"10,000,000 .. 20,000,000",1077,55,193,55,0,0,0,570
291480,291480,Warface,MY.GAMES,MY.GAMES,,42413,19173,0,"10,000,000 .. 20,000,000",531,466,132,466,0,0,0,4127
550650,550650,Black Squad,"NS STUDIO, VALOFE","NS STUDIO, VALOFE",,55577,16034,0,"10,000,000 .. 20,000,000",1007,84,60,98,0,0,0,2532
386360,386360,SMITE,Titan Forge Games,Hi-Rez Studios,,60153,14187,0,"10,000,000 .. 20,000,000",2406,383,152,313,0,0,0,19863
304050,304050,Trove,Trion Worlds,Trion Worlds,,61734,15365,0,"10,000,000 .. 20,000,000",2083,287,208,287,0,0,0,2072
755790,755790,Ring of Elysium,Aurora Studio,TCH Scarlet Limited,,68969,22434,0,"10,000,000 .. 20,000,000",1080,160,94,247,0,0,0,1601
433850,433850,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,,114769,93577,0,"10,000,000 .. 20,000,000",2979,20,155,20,0,0,0,274
218230,218230,PlanetSide 2,Rogue Planet Games,Daybreak Game Company,,47646,9916,0,"5,000,000 .. 10,000,000",1437,300,159,300,0,0,0,2772
224260,224260,No More Room in Hell,No More Room in Hell Team,Lever Games,,52902,6167,0,"5,000,000 .. 10,000,000",453,102,91,102,0,0,0,496
333930,333930,Dirty Bomb,Splash Damage,Warchest Ltd.,,46862,11047,0,"5,000,000 .. 10,000,000",801,280,89,280,0,0,0,331
1046930,1046930,Dota Underlords,Valve,Valve,,71087,13872,0,"5,000,000 .. 10,000,000",1782,127,347,153,0,0,0,5506
444200,444200,World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,,44813,12201,0,"5,000,000 .. 10,000,000",2296,588,202,748,0,0,0,21562
273110,273110,Counter-Strike Nexon: Studio,"Valve Corporation, Nexon Korea Corporation",Nexon Korea Corporation,,24660,12932,0,"5,000,000 .. 10,000,000",935,0,46,0,0,0,0,800
438100,438100,VRChat,VRChat Inc.,VRChat Inc.,,62836,6458,0,"5,000,000 .. 10,000,000",2459,1008,61,1284,0,0,0,11680
588430,588430,Fallout Shelter,Bethesda Game Studios,Bethesda Softworks,,33354,4685,0,"5,000,000 .. 10,000,000",593,91,142,135,0,0,0,1448
363970,363970,Clicker Heroes,Playsaurus,Playsaurus,,47633,5323,0,"5,000,000 .. 10,000,000",4334,2070,397,4073,0,0,0,3651
700330,700330,SCP: Secret Laboratory,Northwood Studios,Northwood Studios,,71678,7359,0,"5,000,000 .. 10,000,000",883,135,75,209,0,0,0,4140
466240,466240,Deceit,Baseline,Baseline,,52352,10941,0,"5,000,000 .. 10,000,000",513,151,95,119,0,0,0,1563
813820,813820,Realm Royale,Heroic Leap Games,Hi-Rez Studios,,31968,11770,0,"5,000,000 .. 10,000,000",451,1,150,1,0,0,0,1259
109600,109600,Neverwinter,Cryptic Studios,Perfect World Entertainment,,23040,6494,0,"5,000,000 .. 10,000,000",886,2,340,4,0,0,0,2564
253710,253710,theHunter Classic,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",,15859,16045,0,"5,000,000 .. 10,000,000",358,70,36,70,0,0,0,1735
555570,555570,Infestation: The New Z,Fredaikis AB,OP Productions LLC,,16310,15177,0,"5,000,000 .. 10,000,000",1102,2770,38,2770,0,0,0,1025
273350,273350,Evolve Stage 2,Turtle Rock Studios,2K,,30960,14898,0,"5,000,000 .. 10,000,000",497,0,168,0,0,0,0,24
208090,208090,Loadout,Edge of Reality,Edge of Reality,,35144,5432,0,"5,000,000 .. 10,000,000",297,0,141,0,0,0,0,1
346900,346900,AdVenture Capitalist,Hyper Hippo Games,Hyper Hippo Games,,39287,5081,0,"5,000,000 .. 10,000,000",1383,0,208,0,0,0,0,992
113400,113400,APB Reloaded,Little Orbit,Little Orbit,,22020,12596,0,"5,000,000 .. 10,000,000",1886,47,172,81,0,0,0,493
844870,844870,KurtzPel,KOG,KOG,,18809,11363,0,"5,000,000 .. 10,000,000",242,42,98,48,0,0,0,576
339610,339610,Freestyle 2: Street Basketball,JOYCITY,JOYCITY,,7684,2791,0,"2,000,000 .. 5,000,000",1788,59,80,59,0,0,0,656
444090,444090,Paladins,Evil Mojo Games,Hi-Rez Studios,,241460,40672,0,"2,000,000 .. 5,000,000",1735,114,378,100,0,0,0,13924
280790,280790,Creativerse,Playful Corp.,Playful Corp.,,22702,5531,0,"2,000,000 .. 5,000,000",539,161,91,322,0,0,0,519
265630,265630,Fistful of Frags,Fistful of Frags Team,Fistful of Frags Team,,28023,2710,0,"2,000,000 .. 5,000,000",287,64,64,64,0,0,0,246
489520,489520,Minion Masters,BetaDwarf,BetaDwarf,,46921,4055,0,"2,000,000 .. 5,000,000",514,11,185,11,0,0,0,1355
323370,323370,TERA,"Bluehole, Inc.",En Masse Entertainment,,13148,3457,0,"2,000,000 .. 5,000,000",1573,0,298,0,0,0,0,142
211500,211500,RaceRoom Racing Experience,Sector3 Studios,"Sector3 Studios, RaceRoom Entertainment AG",,8612,4091,0,"2,000,000 .. 5,000,000",425,0,31,0,0,0,0,1159
504370,504370,Battlerite,Stunlock Studios,Stunlock Studios,,46266,8723,0,"2,000,000 .. 5,000,000",1127,24,167,47,0,0,0,516
698780,698780,Doki Doki Literature Club!,Team Salvato,Team Salvato,,138775,4527,0,"2,000,000 .. 5,000,000",444,58,83,62,0,0,0,675
302830,302830,BLOCKADE 3D,Novalink,Novalink,,15882,11739,0,"2,000,000 .. 5,000,000",305,0,66,0,0,0,0,38
355840,355840,Survarium,Vostok Games,Vostok Games,,12480,10767,0,"2,000,000 .. 5,000,000",296,339,42,339,0,0,0,462
506540,506540,Last Man Standing,"Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,,11601,7395,0,"2,000,000 .. 5,000,000",214,0,71,0,0,0,0,4
397900,397900,Business Tour - Board Game with Online Multiplayer,Creobit,8Floor,,24749,15976,0,"2,000,000 .. 5,000,000",583,26,266,41,0,0,0,1762
312990,312990,The Expendabros,Free Lives,Devolver Digital,,16177,469,0,"2,000,000 .. 5,000,000",86,2,49,2,0,0,0,51
386180,386180,Crossout,Targem Games,Gaijin Distribution KFT,,27732,9178,0,"2,000,000 .. 5,000,000",659,1231,131,1734,0,0,0,3972
262410,262410,World of Guns: Gun Disassembly,Noble Empire Corp.,Noble Empire Corp.,,12940,2692,0,"2,000,000 .. 5,000,000",207,0,52,0,0,0,0,154
