,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
105600,105600,Terraria,Re-Logic,Re-Logic,,597640,13174,0,"20,000,000 .. 50,000,000",6479,394,2210,115,999,999,0,37066
218620,218620,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,,404713,59052,0,"10,000,000 .. 20,000,000",5521,2304,686,622,999,999,0,49004
238960,238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,,134788,9814,0,"10,000,000 .. 20,000,000",6567,835,320,795,0,0,0,31288
252490,252490,Rust,Facepunch Studios,Facepunch Studios,,415358,76488,0,"10,000,000 .. 20,000,000",18532,1411,2516,1036,3999,3999,0,52627
301520,301520,Robocraft,Freejam,Freejam,,84822,32056,0,"10,000,000 .. 20,000,000",1077,55,193,55,0,0,0,570
291480,291480,Warface,MY.GAMES,MY.GAMES,,42413,19173,0,"10,000,000 .. 20,000,000",531,466,132,466,0,0,0,4127
304050,304050,Trove,Trion Worlds,Trion Worlds,,61734,15365,0,"10,000,000 .. 20,000,000",2083,287,208,287,0,0,0,2072
292030,292030,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED,,419268,8299,0,"10,000,000 .. 20,000,000",3377,576,1029,477,3999,3999,0,20354
219990,219990,Grim Dawn,Crate Entertainment,Crate Entertainment,,53114,4031,0,"5,000,000 .. 10,000,000",2232,242,1128,242,2499,2499,0,5887
72850,72850,The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,,275451,15456,0,"5,000,000 .. 10,000,000",7508,497,2994,755,1999,1999,0,8138
49520,49520,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,220276,15623,0,"5,000,000 .. 10,000,000",3153,206,1094,355,1999,1999,0,3200
346110,346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,289634,82561,0,"5,000,000 .. 10,000,000",10302,712,1093,340,999,4999,80,57132
365590,365590,Tom Clancy’s The Division,Massive Entertainment,Ubisoft,,55830,26387,0,"5,000,000 .. 10,000,000",6402,210,3066,285,2999,2999,0,828
582660,582660,Black Desert Online,Pearl Abyss,Kakao Games Europe B.V.,,25630,8767,0,"5,000,000 .. 10,000,000",5245,5206,590,5210,999,999,0,16735
261550,261550,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,,117702,17778,0,"5,000,000 .. 10,000,000",3536,1110,2900,1263,4999,4999,0,11274
588430,588430,Fallout Shelter,Bethesda Game Studios,Bethesda Softworks,,33354,4685,0,"5,000,000 .. 10,000,000",593,91,142,135,0,0,0,1448
413150,413150,Stardew Valley,ConcernedApe,ConcernedApe,,270264,6442,0,"5,000,000 .. 10,000,000",2467,277,1106,299,1499,1499,0,13978
363970,363970,Clicker Heroes,Playsaurus,Playsaurus,,47633,5323,0,"5,000,000 .. 10,000,000",4334,2070,397,4073,0,0,0,3651
377160,377160,Fallout 4,Bethesda Game Studios,Bethesda Softworks,,169141,49276,0,"5,000,000 .. 10,000,000",5971,627,2121,796,2999,2999,0,20687
285800,285800,Braveland,Tortuga Team,Tortuga Team,,2171,450,0,"5,000,000 .. 10,000,000",640,0,256,0,699,699,0,52
109600,109600,Neverwinter,Cryptic Studios,Perfect World Entertainment,,23040,6494,0,"5,000,000 .. 10,000,000",886,2,340,4,0,0,0,2564
239140,239140,Dying Light,Techland,Techland Publishing,,185942,10316,0,"5,000,000 .. 10,000,000",2212,707,1410,225,3999,3999,0,10208
555570,555570,Infestation: The New Z,Fredaikis AB,OP Productions LLC,,16310,15177,0,"5,000,000 .. 10,000,000",1102,2770,38,2770,0,0,0,1025
251570,251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,120017,20971,0,"2,000,000 .. 5,000,000",3446,341,1340,364,2499,2499,0,27793
