,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
4000,4000,Garry's Mod,Facepunch Studios,Valve,,597632,22049,0,"20,000,000 .. 50,000,000",10169,869,1562,211,999,999,0,31437
236390,236390,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,145248,35398,0,"10,000,000 .. 20,000,000",4860,1086,371,524,0,0,0,31542
301520,301520,Robocraft,Freejam,Freejam,,84822,32056,0,"10,000,000 .. 20,000,000",1077,55,193,55,0,0,0,570
417910,417910,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,,976,723,0,"10,000,000 .. 20,000,000",49,0,31,0,199,199,0,4
227300,227300,Euro Truck Simulator 2,SCS Software,SCS Software,,343917,9078,0,"5,000,000 .. 10,000,000",6094,324,2008,160,1999,1999,0,32630
582660,582660,Black Desert Online,Pearl Abyss,Kakao Games Europe B.V.,,25630,8767,0,"5,000,000 .. 10,000,000",5245,5206,590,5210,999,999,0,16735
322330,322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,207286,7975,0,"5,000,000 .. 10,000,000",1838,328,539,119,1499,1499,0,19666
261550,261550,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,,117702,17778,0,"5,000,000 .. 10,000,000",3536,1110,2900,1263,4999,4999,0,11274
255710,255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,,126210,10054,0,"5,000,000 .. 10,000,000",2483,449,687,308,749,2999,75,16603
1089350,1089350,NBA 2K20,Visual Concepts,2K,,25650,26412,0,"5,000,000 .. 10,000,000",4319,555,556,649,5999,5999,0,16144
438100,438100,VRChat,VRChat Inc.,VRChat Inc.,,62836,6458,0,"5,000,000 .. 10,000,000",2459,1008,61,1284,0,0,0,11680
588430,588430,Fallout Shelter,Bethesda Game Studios,Bethesda Softworks,,33354,4685,0,"5,000,000 .. 10,000,000",593,91,142,135,0,0,0,1448
413150,413150,Stardew Valley,ConcernedApe,ConcernedApe,,270264,6442,0,"5,000,000 .. 10,000,000",2467,277,1106,299,1499,1499,0,13978
363970,363970,Clicker Heroes,Playsaurus,Playsaurus,,47633,5323,0,"5,000,000 .. 10,000,000",4334,2070,397,4073,0,0,0,3651
648800,648800,Raft,Redbeet Interactive,Axolot Games,,67894,7070,0,"5,000,000 .. 10,000,000",1047,256,575,319,1999,1999,0,11198
219740,219740,Don't Starve,Klei Entertainment,Klei Entertainment,,79549,2620,0,"5,000,000 .. 10,000,000",955,149,279,159,999,999,0,3372
253710,253710,theHunter Classic,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",,15859,16045,0,"5,000,000 .. 10,000,000",358,70,36,70,0,0,0,1735
107410,107410,Arma 3,Bohemia Interactive,Bohemia Interactive,,156649,16898,0,"5,000,000 .. 10,000,000",12024,579,1721,376,2999,2999,0,20061
387990,387990,Scrap Mechanic,Axolot Games,Axolot Games,,53192,5066,0,"5,000,000 .. 10,000,000",2800,167,746,193,1999,1999,0,2769
251570,251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,120017,20971,0,"2,000,000 .. 5,000,000",3446,341,1340,364,2499,2499,0,27793
233450,233450,Prison Architect,"Double Eleven, Introversion Software",Paradox Interactive,,46358,4481,0,"2,000,000 .. 5,000,000",1752,471,844,475,2999,2999,0,1798
280790,280790,Creativerse,Playful Corp.,Playful Corp.,,22702,5531,0,"2,000,000 .. 5,000,000",539,161,91,322,0,0,0,519
211500,211500,RaceRoom Racing Experience,Sector3 Studios,"Sector3 Studios, RaceRoom Entertainment AG",,8612,4091,0,"2,000,000 .. 5,000,000",425,0,31,0,0,0,0,1159
286160,286160,Tabletop Simulator,Berserk Games,Berserk Games,,32693,1311,0,"2,000,000 .. 5,000,000",1722,357,559,442,1999,1999,0,8146
33930,33930,Arma 2: Operation Arrowhead,Bohemia Interactive,Bohemia Interactive,,19092,1577,0,"2,000,000 .. 5,000,000",2442,10,500,10,1999,1999,0,563
236850,236850,Europa Universalis IV,Paradox Development Studio,Paradox Interactive,,70741,10478,0,"2,000,000 .. 5,000,000",20506,1232,6340,570,3999,3999,0,17808
1100600,1100600,Football Manager 2020,Sports Interactive,SEGA,,25691,3312,0,"2,000,000 .. 5,000,000",9116,631,7684,937,4999,4999,0,57928
262410,262410,World of Guns: Gun Disassembly,Noble Empire Corp.,Noble Empire Corp.,,12940,2692,0,"2,000,000 .. 5,000,000",207,0,52,0,0,0,0,154
35450,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Tripwire Interactive,Tripwire Interactive,,30817,2492,0,"2,000,000 .. 5,000,000",1366,83,255,116,1999,1999,0,433
209080,209080,Guns of Icarus Online,Muse Games,Muse Games,,13222,1374,0,"2,000,000 .. 5,000,000",320,0,284,0,499,499,0,24
380600,380600,Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,,18889,4380,0,"2,000,000 .. 5,000,000",866,0,44,0,0,0,0,2453
203770,203770,Crusader Kings II,Paradox Development Studio,Paradox Interactive,,54366,6055,0,"2,000,000 .. 5,000,000",4213,1225,256,1291,0,0,0,4502
242760,242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,,199566,12154,0,"2,000,000 .. 5,000,000",1316,233,770,275,1999,1999,0,14021
212680,212680,FTL: Faster Than Light,Subset Games,Subset Games,,53871,2159,0,"2,000,000 .. 5,000,000",1241,53,627,79,999,999,0,1466
244850,244850,Space Engineers,Keen Software House,Keen Software House,,83826,11378,0,"2,000,000 .. 5,000,000",3319,937,923,1093,1999,1999,0,8278
265930,265930,Goat Simulator,Coffee Stain Studios,Coffee Stain Publishing,,49717,5866,0,"2,000,000 .. 5,000,000",313,2,158,2,999,999,0,127
281990,281990,Stellaris,Paradox Development Studio,Paradox Interactive,,76143,12543,0,"2,000,000 .. 5,000,000",7657,829,2003,862,3999,3999,0,18701
394360,394360,Hearts of Iron IV,Paradox Development Studio,Paradox Interactive,,94771,9051,0,"2,000,000 .. 5,000,000",11708,534,1973,319,3999,3999,0,29013
223750,223750,DCS World Steam Edition,Eagle Dynamics SA,The Fighter Collection,,10779,2371,0,"2,000,000 .. 5,000,000",209,744,26,744,0,0,0,1233
220200,220200,Kerbal Space Program,Squad,Private Division,,76202,5084,0,"2,000,000 .. 5,000,000",3323,197,517,215,3999,3999,0,4323
105450,105450,Age of Empires III (2007),Ensemble Studios,Xbox Game Studios,,24702,2631,0,"2,000,000 .. 5,000,000",1624,187,546,317,3999,3999,0,1955
427520,427520,Factorio,Wube Software LTD.,Wube Software LTD.,,92413,1117,0,"2,000,000 .. 5,000,000",7180,945,3475,1422,3000,3000,0,15504
389570,389570,Mitos.is: The Game,Freakinware Studios,Freakinware Studios,,9530,2223,0,"2,000,000 .. 5,000,000",3767,0,67,0,0,0,0,86
294100,294100,RimWorld,Ludeon Studios,Ludeon Studios,,85397,1488,0,"2,000,000 .. 5,000,000",7807,777,3469,865,3499,3499,0,16630
204880,204880,Sins of a Solar Empire: Rebellion,"Ironclad Games, Stardock Entertainment",Stardock Entertainment,,11356,861,0,"2,000,000 .. 5,000,000",930,277,420,277,3999,3999,0,837
47890,47890,The Sims 3,The Sims Studio,Electronic Arts,,18767,3284,0,"2,000,000 .. 5,000,000",3400,2306,920,2306,1999,1999,0,3305
766570,766570,Russian Fishing 4,Russian Fishing,Russian Fishing,,9626,3519,0,"2,000,000 .. 5,000,000",1303,0,49,0,0,0,0,4932
246620,246620,Plague Inc: Evolved,Ndemic Creations,Ndemic Creations,,33413,2062,0,"2,000,000 .. 5,000,000",613,56,289,56,1499,1499,0,529
282070,282070,This War of Mine,11 bit studios,11 bit studios,,60344,3343,0,"2,000,000 .. 5,000,000",799,659,336,913,1999,1999,0,1107
346010,346010,Besiege,Spiderling Studios,Spiderling Studios,,35412,1714,0,"2,000,000 .. 5,000,000",489,0,191,0,1499,1499,0,510
314160,314160,Microsoft Flight Simulator X: Steam Edition,Microsoft Game Studios,Xbox Game Studios,,16063,2866,0,"2,000,000 .. 5,000,000",5640,0,1579,0,2499,2499,0,1877
305620,305620,The Long Dark,Hinterland Studio Inc.,Hinterland Studio Inc.,,64752,6404,0,"2,000,000 .. 5,000,000",1025,226,337,214,2999,2999,0,2418
482730,482730,Football Manager 2017,Sports Interactive,SEGA,,6372,4543,0,"2,000,000 .. 5,000,000",7466,0,6687,0,0,0,0,2263
57690,57690,Tropico 4,Haemimont Games,Kalypso Media Digital,,9898,911,0,"2,000,000 .. 5,000,000",885,0,248,0,374,1499,75,262
40970,40970,Stronghold Crusader HD,FireFly Studios,FireFly Studios,,8117,246,0,"2,000,000 .. 5,000,000",1386,45,173,45,199,999,80,1971
212070,212070,Star Conflict,Star Gem Inc.,Gaijin Distribution KFT,,9859,3188,0,"1,000,000 .. 2,000,000",1133,305,135,305,0,0,0,312
359320,359320,Elite Dangerous,Frontier Developments,Frontier Developments,,45381,14035,0,"1,000,000 .. 2,000,000",3907,443,1624,497,2999,2999,0,10425
466560,466560,Northgard,Shiro Games,Shiro Games,,26278,3879,0,"1,000,000 .. 2,000,000",1449,0,458,0,1499,2999,50,2917
491950,491950,Orwell: Keeping an Eye On You,Osmotic Studios,Fellow Traveller,,10800,1007,0,"1,000,000 .. 2,000,000",2081,96,249,96,999,999,0,67
298240,298240,WT3,"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",,5006,3388,0,"1,000,000 .. 2,000,000",161,0,27,0,0,0,0,23
270880,270880,American Truck Simulator,SCS Software,SCS Software,,60541,2803,0,"1,000,000 .. 2,000,000",2191,327,726,431,1999,1999,0,5652
440900,440900,Conan Exiles,Funcom,Funcom,,45814,13374,0,"1,000,000 .. 2,000,000",3684,304,1241,444,3999,3999,0,12836
310560,310560,DiRT Rally,"Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)",,28464,4210,0,"1,000,000 .. 2,000,000",946,100,185,181,1999,1999,0,562
323190,323190,Frostpunk,11 bit studios,11 bit studios,,50167,5217,0,"1,000,000 .. 2,000,000",781,350,540,554,1019,2999,66,2808
266840,266840,Age of Mythology: Extended Edition,"SkyBox Labs, Ensemble Studios",Xbox Game Studios,,17357,1906,0,"1,000,000 .. 2,000,000",861,63,445,63,2999,2999,0,1886
518790,518790,theHunter: Call of the Wild,Expansive Worlds,Expansive Worlds,,46952,8777,0,"1,000,000 .. 2,000,000",2133,282,682,425,1999,1999,0,4190
17390,17390,SPORE,Maxis™,Electronic Arts,,25522,2666,0,"1,000,000 .. 2,000,000",825,0,377,0,1999,1999,0,852
319830,319830,AX:EL - Air XenoDawn,Alex Piola,KISS ltd,,824,262,0,"1,000,000 .. 2,000,000",122,0,81,0,0,0,0,25
417860,417860,Emily is Away,Kyle Seeley,Kyle Seeley,,26173,3396,0,"1,000,000 .. 2,000,000",52,0,44,0,0,0,0,20
1158310,1158310,Crusader Kings III,Paradox Development Studio,Paradox Interactive,,26550,2118,0,"1,000,000 .. 2,000,000",2379,1156,1406,1628,4999,4999,0,16709
736190,736190,Chinese Parents,墨鱼玩游戏,墨鱼玩游戏,,19898,1774,0,"1,000,000 .. 2,000,000",1002,0,734,0,999,999,0,409
457140,457140,Oxygen Not Included,Klei Entertainment,Klei Entertainment,,50970,1954,0,"1,000,000 .. 2,000,000",2589,1217,807,1217,2499,2499,0,6065
40950,40950,Stronghold HD,FireFly Studios,FireFly Studios,,4991,277,0,"1,000,000 .. 2,000,000",546,454,343,454,149,599,75,320
