,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
570,570,Dota 2,Valve,Valve,,1173499,214974,0,"100,000,000 .. 200,000,000",31355,1943,973,788,0,0,0,514719
227940,227940,Heroes & Generals,RETO MOTO,RETO MOTO,,83992,40822,0,"10,000,000 .. 20,000,000",837,106,99,150,0,0,0,4117
8930,8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,161536,6502,0,"5,000,000 .. 10,000,000",6202,444,2174,655,2999,2999,0,21532
1046930,1046930,Dota Underlords,Valve,Valve,,71087,13872,0,"5,000,000 .. 10,000,000",1782,127,347,153,0,0,0,5506
582660,582660,Black Desert Online,Pearl Abyss,Kakao Games Europe B.V.,,25630,8767,0,"5,000,000 .. 10,000,000",5245,5206,590,5210,999,999,0,16735
255710,255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,,126210,10054,0,"5,000,000 .. 10,000,000",2483,449,687,308,749,2999,75,16603
261550,261550,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,,117702,17778,0,"5,000,000 .. 10,000,000",3536,1110,2900,1263,4999,4999,0,11274
221380,221380,Age of Empires II (2013),"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Xbox Game Studios,,80385,3840,0,"5,000,000 .. 10,000,000",1482,0,505,0,1999,1999,0,7458
363970,363970,Clicker Heroes,Playsaurus,Playsaurus,,47633,5323,0,"5,000,000 .. 10,000,000",4334,2070,397,4073,0,0,0,3651
285800,285800,Braveland,Tortuga Team,Tortuga Team,,2171,450,0,"5,000,000 .. 10,000,000",640,0,256,0,699,699,0,52
107410,107410,Arma 3,Bohemia Interactive,Bohemia Interactive,,156649,16898,0,"5,000,000 .. 10,000,000",12024,579,1721,376,2999,2999,0,20061
289070,289070,Sid Meier’s Civilization VI,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,109173,23997,0,"5,000,000 .. 10,000,000",5274,285,1674,201,1499,5999,75,36142
231430,231430,Company of Heroes 2,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,54263,15437,0,"5,000,000 .. 10,000,000",1314,625,288,686,1999,1999,0,8175
